stock_code,company_name,週別,統計_日期,當週股價_收盤_元,當週股價_漲跌_元,當週股價_漲跌_pct,集保庫存_萬張,持股_小於等於10張_pct,持股_大於10張小於等於50張_pct,持股_大於50張小於等於100張_pct,持股_大於100張小於等於200張_pct,持股_大於200張小於等於400張_pct,持股_大於400張小於等於800張_pct,持股_大於800張小於等於1千張_pct,持股_大於1千張_pct,各持股等級股東之持有比例_pct_Unnamed:_14_level_1,各持股等級股東之持有比例_pct_Unnamed:_15_level_1,各持股等級股東之持有比例_pct_Unnamed:_16_level_1,各持股等級股東之持有比例_pct_Unnamed:_17_level_1,各持股等級股東之持有比例_pct_Unnamed:_18_level_1,各持股等級股東之持有比例_pct_Unnamed:_19_level_1,各持股等級股東之持有比例_pct_Unnamed:_20_level_1,各持股等級股東之持有比例_pct_Unnamed:_21_level_1,各持股等級股東之持有比例_pct_Unnamed:_22_level_1,file_type,source_file,download_success,download_timestamp,process_timestamp,stage1_process_timestamp
0050,元大台灣50,26W09,02/26,81.15,3.95,5.12,1626,25.3,28.9,9.28,5.93,3.23,1.56,0.32,25.5,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W07,02/13,77.2,5.3,7.37,1619,24.9,28.7,9.27,5.94,3.26,1.6,0.34,25.9,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W06,02/06,71.9,-0.7,-0.96,1605,25.2,29,9.3,5.93,3.23,1.58,0.3,25.4,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W05,01/30,72.6,0.35,0.48,1586,24.9,28.7,9.33,5.95,3.24,1.66,0.35,25.8,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W04,01/23,72.25,0.25,0.35,1566,25,29,9.39,6.06,3.3,1.71,0.32,25.2,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W03,01/16,72.0,2.15,3.08,1561,24.5,28.4,9.23,5.89,3.23,1.67,0.32,26.7,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W02,01/09,69.85,2.9,4.33,1544,24.4,28.4,9.23,5.88,3.28,1.68,0.33,26.8,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,26W01,01/02,66.95,2.55,3.96,1547,24.1,28.2,9.12,5.9,3.23,1.7,0.36,27.4,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W52,12/26,64.4,1.9,3.04,1557,24.2,28.2,9.09,5.87,3.25,1.66,0.36,27.4,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W51,12/19,62.5,-0.95,-1.5,1558,24.3,28.2,9.06,5.83,3.21,1.62,0.34,27.4,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W50,12/12,63.45,0.7,1.12,1574,23.4,27.3,8.78,5.74,3.11,1.62,0.34,29.7,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W49,12/05,62.75,0.4,0.64,1572,23.4,27.3,8.74,5.73,3.11,1.6,0.32,29.8,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W48,11/28,62.35,2.5,4.18,1519,24.1,28,8.91,5.83,3.14,1.63,0.3,28,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W47,11/21,59.85,-1.85,-3.0,1470,24.1,28,8.9,5.86,3.16,1.59,0.31,28.1,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W46,11/14,61.7,-0.85,-1.36,1428,23.6,27.6,8.87,5.84,3.16,1.65,0.34,28.9,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W45,11/07,62.55,-2.2,-3.4,1395,23.7,27.9,8.97,5.93,3.23,1.69,0.38,28.2,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W44,10/31,64.75,2.4,3.85,1372,23.3,27.4,8.9,5.87,3.2,1.69,0.34,29.3,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W43,10/23,62.35,0.3,0.48,1332,23.6,27.7,8.96,5.91,3.21,1.71,0.37,28.5,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W42,10/17,62.05,0.45,0.73,1314,23.3,27.4,8.83,5.87,3.22,1.68,0.35,29.4,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W41,10/09,61.6,1.55,2.58,1275,23.1,27.5,8.91,5.95,3.3,1.72,0.36,29.1,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W40,10/03,60.05,2.8,4.89,1273,22.7,27.1,8.78,5.85,3.26,1.74,0.36,30.2,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W39,09/26,57.25,0.25,0.44,1259,22.5,27,8.76,5.88,3.23,1.74,0.36,30.5,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W38,09/19,57.0,1.0,1.79,1287,21.6,26.1,8.48,5.71,3.14,1.73,0.36,32.9,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W37,09/12,56.0,3.15,5.96,1279,21.5,26,8.45,5.71,3.15,1.7,0.34,33.1,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W36,09/05,52.85,0.35,0.67,1262,22,26.6,8.68,5.83,3.24,1.7,0.37,31.6,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W35,08/29,52.5,0.75,1.45,1283,21.4,26,8.46,5.71,3.17,1.66,0.37,33.3,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W34,08/22,51.75,-1.4,-2.63,1296,21,25.6,8.31,5.56,3.11,1.66,0.34,34.4,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W33,08/15,53.15,0.7,1.33,1295,20.2,24.9,8.21,5.46,3.12,1.65,0.34,36.1,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W32,08/08,52.45,1.35,2.64,1302,19.8,24.6,8.13,5.38,3.09,1.63,0.33,37,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W31,08/01,51.1,0.2,0.39,1301,19.5,24.4,8.09,5.36,3.1,1.62,0.36,37.5,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W30,07/25,50.9,-0.55,-1.07,1303,19.3,24.3,8.07,5.34,3.08,1.58,0.37,37.9,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
0050,元大台灣50,25W29,07/18,51.45,1.83,3.69,1324,18.7,23.7,7.87,5.13,2.94,1.53,0.34,39.7,,,,,,,,,,EquityDistributionClassHis,EquityDistributionClassHis_0050_元大台灣50.xls,True,2026-08-12 20:40:43 CST,2026-08-12 20:40:33 CST,2026-08-16 10:12:26 CST
